site_id,Organization Name,Approved On Street,Borough Name,Approved From Street,Approved To Street,apprDaysWe,Status Type,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,apprEndDat,lionversion,segment_count,mapped_length_source_units,weekly_approved_hours,approved_days_per_week,invalid_time_windows,geometry_wkt
OS062,Lower East Side Partnership,BROOME STREET,Manhattan,ESSEX STREET,NORFOLK STREET,sun,approvedFull,,,,,,,,,,,,,08:00,20:00,02/01/2024,01/31/2025,23C,1,236.174404099,12.0,1,0,"LINESTRING (-73.987879 40.717409, -73.98867 40.71765)"
OS063,Lower East Side Partnership,ORCHARD STREET,Manhattan,DELANCEY STREET,EAST HOUSTON STREET,sun,approvedFull,,,,,,,,,,,,,08:00,18:00,02/04/2024,01/26/2025,23C,3,1382.732469515,10.0,1,0,"MULTILINESTRING ((-73.989113 40.720307, -73.988523 40.721462), (-73.988523 40.721462, -73.987902 40.722627), (-73.989733 40.719096, -73.989628 40.719301), (-73.989628 40.719301, -73.989113 40.720307))"
OS064,More Gardens! Fund,STANTON STREET,Manhattan,ESSEX STREET,NORFOLK STREET,sun,approvedFull,,,,,,,,,,,,,10:00,18:00,07/01/2024,10/31/2024,23C,1,236.059102644,8.0,1,0,"LINESTRING (-73.98695 40.720983, -73.986158 40.720745)"
OS065,NYCDOE/Washington Irving Educational Campus,IRVING PLACE,Manhattan,EAST 16 STREET,EAST 17 STREET,"mon,tue,wed,thu,fri",approvedFullSchools,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30,,,,,09/05/2024,06/27/2025,23C,2,489.225744016,47.5,5,0,"LINESTRING (-73.987816 40.735292, -73.987387 40.735879)"
OS066,St. Marks Business Coalition,ST MARKS PLACE,Manhattan,1 AVENUE,AVENUE A,"fri,sat,sun",approvedFull,,,,,,,,,16:30,23:00,11:30,23:00,11:30,22:00,04/01/2024,12/01/2024,23C,1,697.830910494,28.5,3,0,"LINESTRING (-73.985294 40.727593, -73.983091 40.726666)"
OS067,Friends Seminary,RUTHERFORD PLACE,Manhattan,EAST 17 STREET,EAST 15 STREET,"mon,tue,wed,thu,fri",approvedFullSchools,07:30,15:30,07:30,15:30,07:30,15:30,07:30,15:30,07:30,15:30,,,,,08/01/2024,07/31/2025,23C,2,510.832805409,40.0,5,0,"MULTILINESTRING ((-73.984772 40.734012, -73.985242 40.733372), (-73.98436 40.734603, -73.984772 40.734012))"
OS068,Loisaida Open Streets Community Coalition,AVENUE B,Manhattan,EAST 7 STREET,EAST 10 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,02/01/2024,01/31/2025,23C,3,746.709107462,84.0,7,0,"MULTILINESTRING ((-73.981211 40.725073, -73.980758 40.725678), (-73.980758 40.725678, -73.980608 40.725891), (-73.980608 40.725891, -73.980528 40.726003), (-73.980528 40.726003, -73.980333 40.72628), (-73.980333 40.72628, -73.98017 40.726504), (-73.98017 40.726504, -73.979907 40.726866))"
OS069,West 21 Street Open Street Coalition,WEST 21 STREET,Manhattan,9 AVENUE,10 AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,02/01/2024,02/01/2025,23C,1,900.08476021,84.0,7,0,"LINESTRING (-74.002265 40.745207, -74.005107 40.746403)"
OS070,34th Street Partnership,BROADWAY,Manhattan,WEST 35 STREET,WEST 36 STREET,"mon,tue,wed,thu,fri,sat,sun",approvedFull,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,12/06/2024,01/03/2025,23C,1,278.856062626,167.88333333333333,7,0,"LINESTRING (-73.987779 40.750661, -73.987645 40.751419)"
OS071,Columbus Avenue Business Improvement District,COLUMBUS AVENUE,Manhattan,WEST 68 STREET,WEST 77 STREET,sun,approvedFull,,,,,,,,,,,,,10:00,20:00,05/05/2024,06/23/2024,23C,9,2417.6433317339997,10.0,1,0,"MULTILINESTRING ((-73.98066 40.774852, -73.980209 40.77548), (-73.980209 40.77548, -73.979746 40.776112), (-73.979746 40.776112, -73.979287 40.776725), (-73.979287 40.776725, -73.978799 40.777413), (-73.978799 40.777413, -73.978292 40.778096), (-73.978292 40.778096, -73.977833 40.778731), (-73.977833 40.778731, -73.977368 40.779364), (-73.977368 40.779364, -73.976903 40.779997), (-73.976903 40.779997, -73.976663 40.780329), (-73.976663 40.780329, -73.976417 40.780651))"
OS072,Columbus Avenue Business Improvement District,COLUMBUS AVENUE,Manhattan,WEST 68 STREET,WEST 77 STREET,sun,approvedFull,,,,,,,,,,,,,10:00,20:00,09/15/2024,10/27/2024,23C,9,2417.6433317339997,10.0,1,0,"MULTILINESTRING ((-73.98066 40.774852, -73.980209 40.77548), (-73.980209 40.77548, -73.979746 40.776112), (-73.979746 40.776112, -73.979287 40.776725), (-73.979287 40.776725, -73.978799 40.777413), (-73.978799 40.777413, -73.978292 40.778096), (-73.978292 40.778096, -73.977833 40.778731), (-73.977833 40.778731, -73.977368 40.779364), (-73.977368 40.779364, -73.976903 40.779997), (-73.976903 40.779997, -73.976663 40.780329), (-73.976663 40.780329, -73.976417 40.780651))"
OS073,North Brooklyn Open Streets Community Coalition,BEDFORD AVENUE,Brooklyn,LORIMER STREET,MANHATTAN AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedFull,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,04/20/2024,11/30/2024,23C,1,289.830392903,91.0,7,0,"LINESTRING (-73.950978 40.724097, -73.951646 40.723486)"
OS074,Fifth Avenue Association,5 AVENUE,Manhattan,EAST 48 STREET,EAST 57 STREET,sun,approvedFull,,,,,,,,,,,,,09:00,20:00,12/08/2024,12/08/2024,23C,9,2367.7580216849997,11.0,1,0,"MULTILINESTRING ((-73.978116 40.757284, -73.977655 40.757911), (-73.977655 40.757911, -73.9772 40.758538), (-73.9772 40.758538, -73.976745 40.759165), (-73.976745 40.759165, -73.976289 40.759787), (-73.976289 40.759787, -73.97583 40.760419), (-73.97583 40.760419, -73.975374 40.76104), (-73.975374 40.76104, -73.974915 40.761667), (-73.974915 40.761667, -73.974457 40.762293), (-73.974457 40.762293, -73.973968 40.762967))"
