"Object ID","Organization Name","Approved On Street","Borough Name","Approved From Street","Approved To Street","apprDaysWe","Status Type","Approved Monday Open","Approved Monday Close","Approved Tuesday Open","Approved Tuesday Close","Approved Wednesday Open","Approved Wednesday Close","Approved Thursday Open","Approved Thursday Close","Approved Friday Open","Approved Friday Close","Approved Saturday Open","Approved Saturday Close","Approved Sunday Open","Approved Sunday Close","apprStartD","apprEndDat","Shape_STLe","segmentidt","segmentidf","lionversion","The_Geom"
"170","Columbus Avenue Business Improvement District","COLUMBUS AVENUE","Manhattan","WEST 68 STREET","WEST 77 STREET","sun","approvedFull",,,,,,,,,,,,,"10:00","20:00","09/15/2024","10/27/2024","285.540563933","0037083","0037083","23C","MULTILINESTRING ((-73.97879904892143 40.777412933695366, -73.97829244278431 40.778095523678026))"
"171","Columbus Avenue Business Improvement District","COLUMBUS AVENUE","Manhattan","WEST 68 STREET","WEST 77 STREET","sun","approvedFull",,,,,,,,,,,,,"10:00","20:00","05/05/2024","06/23/2024","264.096831562","0037085","0037085","23C","MULTILINESTRING ((-73.97829244278431 40.778095523678026, -73.97783301702559 40.778730721617976))"
"172","Columbus Avenue Business Improvement District","COLUMBUS AVENUE","Manhattan","WEST 68 STREET","WEST 77 STREET","sun","approvedFull",,,,,,,,,,,,,"10:00","20:00","09/15/2024","10/27/2024","264.096831562","0037085","0037085","23C","MULTILINESTRING ((-73.97829244278431 40.778095523678026, -73.97783301702559 40.778730721617976))"
"173","Columbus Avenue Business Improvement District","COLUMBUS AVENUE","Manhattan","WEST 68 STREET","WEST 77 STREET","sun","approvedFull",,,,,,,,,,,,,"10:00","20:00","05/05/2024","06/23/2024","264.253424335","0037087","0037087","23C","MULTILINESTRING ((-73.97783301702559 40.778730721617976, -73.97736845837075 40.77936425253069))"
"174","Columbus Avenue Business Improvement District","COLUMBUS AVENUE","Manhattan","WEST 68 STREET","WEST 77 STREET","sun","approvedFull",,,,,,,,,,,,,"10:00","20:00","09/15/2024","10/27/2024","264.253424335","0037087","0037087","23C","MULTILINESTRING ((-73.97783301702559 40.778730721617976, -73.97736845837075 40.77936425253069))"
"175","Columbus Avenue Business Improvement District","COLUMBUS AVENUE","Manhattan","WEST 68 STREET","WEST 77 STREET","sun","approvedFull",,,,,,,,,,,,,"10:00","20:00","05/05/2024","06/23/2024","264.219463149","0037091","0037091","23C","MULTILINESTRING ((-73.97736845837075 40.77936425253069, -73.97690314233175 40.77999735722292))"
"176","Columbus Avenue Business Improvement District","COLUMBUS AVENUE","Manhattan","WEST 68 STREET","WEST 77 STREET","sun","approvedFull",,,,,,,,,,,,,"10:00","20:00","09/15/2024","10/27/2024","264.219463149","0037091","0037091","23C","MULTILINESTRING ((-73.97736845837075 40.77936425253069, -73.97690314233175 40.77999735722292))"
"177","The Nightingale Bamford School","EAST 92 STREET","Manhattan","5 AVENUE","MADISON AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","09:00","14:30","09:00","14:30","09:00","14:30","09:00","14:30","09:00","14:30",,,,,"09/05/2024","06/27/2025","507.821982814","0037601","0037601","23C","MULTILINESTRING ((-73.95763599385073 40.78534345749885, -73.95603053229628 40.78466992047179))"
"178","PS 290 The Manhattan New School","EAST 82 STREET","Manhattan","2 AVENUE","1 AVENUE","mon,tue,wed,thu,fri","approvedFullSchools","08:00","15:00","08:00","15:00","08:00","15:00","08:00","15:00","08:00","15:00",,,,,"09/05/2024","06/27/2025","749.529938613","0037744","0037744","23C","MULTILINESTRING ((-73.95362762524242 40.77529067344616, -73.95126173428294 40.7742919399094))"
"179","Lenape Bloemendael DMA dba Columbus Amsterdam Business Improvement District","AMSTERDAM AVENUE","Manhattan","WEST 106 STREET","CATHEDRAL PARKWAY","sat,sun","approvedFull",,,,,,,,,,,"11:00","19:00","12:00","18:00","04/20/2024","11/10/2024","262.082479366","0038180","0038180","23C","MULTILINESTRING ((-73.9652151143523 40.80111115028984, -73.96475930379877 40.80174161330712))"
"180","Lenape Bloemendael DMA dba Columbus Amsterdam Business Improvement District","AMSTERDAM AVENUE","Manhattan","WEST 106 STREET","CATHEDRAL PARKWAY","sat,sun","approvedFull",,,,,,,,,,,"11:00","19:00","12:00","18:00","04/20/2024","11/10/2024","262.597270057","0038233","0038233","23C","MULTILINESTRING ((-73.96475930379877 40.80174161330712, -73.96430100520557 40.80237265001026))"
"181","Lenape Bloemendael DMA dba Columbus Amsterdam Business Improvement District","AMSTERDAM AVENUE","Manhattan","WEST 106 STREET","CATHEDRAL PARKWAY","sat,sun","approvedFull",,,,,,,,,,,"11:00","19:00","12:00","18:00","04/20/2024","11/10/2024","250.021306539","0038235","0038235","23C","MULTILINESTRING ((-73.96430100520557 40.80237265001026, -73.9638612634734 40.80297203811626))"
"182","Frederick Douglass Boulevard Alliance","FREDERICK DOUGLASS BOULEVARD","Manhattan","WEST 112 STREET","WEST 121 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","22:00","12:01","21:00","06/15/2024","10/06/2024","262.247503458","0038463","0038463","23C","MULTILINESTRING ((-73.95723749365877 40.80185796129603, -73.9567781119241 40.80248744585842))"
"183","Frederick Douglass Boulevard Alliance","FREDERICK DOUGLASS BOULEVARD","Manhattan","WEST 112 STREET","WEST 121 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","22:00","12:01","21:00","06/15/2024","10/06/2024","261.416840964","0038465","0038465","23C","MULTILINESTRING ((-73.9567781119241 40.80248744585842, -73.9563211507074 40.80311534456945))"
"184","Frederick Douglass Boulevard Alliance","FREDERICK DOUGLASS BOULEVARD","Manhattan","WEST 112 STREET","WEST 121 STREET","sat,sun","approvedFull",,,,,,,,,,,"12:00","22:00","12:01","21:00","06/15/2024","10/06/2024","262.012991328","0038467","0038467","23C","MULTILINESTRING ((-73.9563211507074 40.80311534456945, -73.95586271530266 40.80374449523976))"
