cell_index,cell_id,borough,nta_id,nta_name,housing_units,median_gross_rent_usd,margin_of_error_usd,rent_percentile,bar_height_m,source_level,primary_source_level,dominant_source_geoid,source_geography_count,source_unit_coverage_share,lower_bound_90_usd,upper_bound_90_usd
5906,892a1076e4fffff,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,894,1143.4,216.4,0.0494,143.5,block_group,block_group,360470572001,3,1.0,927.0,1359.8
5907,892a1076e5bffff,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,545,2089.0,946.5,0.6605,1619.6,mixed,tract,36047057000,4,1.0,1142.5,3035.5
5908,892a1076e63ffff,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,80,1419.0,307.0,0.112,291.3,block_group,block_group,360470628001,1,1.0,1112.0,1726.0
5909,892a1076e6bffff,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,183,1826.5,165.1,0.4056,983.2,block_group,block_group,360470626002,2,1.0,1661.4,1991.6
5910,892a1076e6fffff,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,306,1847.0,816.0,0.4302,1039.3,block_group,block_group,360470598002,1,1.0,1031.0,2663.0
5911,892a1076e73ffff,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,261,1731.0,347.4,0.3074,755.8,block_group,block_group,360470628001,2,1.0,1383.6,2078.4
5912,892a1076e77ffff,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,293,1531.2,279.8,0.1597,405.3,mixed,block_group,360470628001,2,1.0,1251.4,1811.0
5913,892a1076e7bffff,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,159,1742.0,110.0,0.3204,778.1,block_group,block_group,360470626002,1,1.0,1632.0,1852.0
5914,892a1076e93ffff,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,142,1463.0,739.0,0.1318,334.5,block_group,block_group,360470702015,1,1.0,724.0,2202.0
5915,892a1077003ffff,Brooklyn,BK0703,Sunset Park (Central),218,1936.2,204.9,0.5091,1251.4,block_group,block_group,360470090011,2,1.0,1731.3,2141.1
5916,892a1077007ffff,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),640,1769.7,383.6,0.3491,842.6,block_group,block_group,360470090021,4,1.0,1386.1,2153.3
5917,892a107700bffff,Brooklyn,BK0703,Sunset Park (Central),753,2002.3,178.8,0.5786,1414.1,block_group,block_group,360470088001,2,1.0,1823.5,2181.1
5918,892a107700fffff,Brooklyn,BK0703,Sunset Park (Central),1020,2107.2,388.6,0.6803,1669.7,block_group,block_group,360470092012,6,1.0,1718.6,2495.8
5919,892a107701bffff,Brooklyn,BK0703,Sunset Park (Central),67,2092.0,227.0,0.6636,1627.4,block_group,block_group,360470088001,1,1.0,1865.0,2319.0
5920,892a1077023ffff,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),1118,1607.4,204.4,0.2013,508.3,mixed,block_group,36047011200,6,1.0,1403.0,1811.8
5921,892a1077027ffff,Brooklyn,BK1202,Borough Park,892,1656.4,585.1,0.233,584.3,block_group,block_group,360470222003,4,1.0,1071.3,2241.5
5922,892a107702bffff,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),1038,1784.2,121.8,0.3615,874.2,mixed,block_group,360470094022,6,1.0,1662.4,1906.0
5923,892a107702fffff,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),793,1737.7,222.9,0.3178,772.3,mixed,block_group,36047011400,6,1.0,1514.8,1960.6
5924,892a1077033ffff,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),1217,1541.4,584.5,0.1647,417.1,block_group,block_group,360470112001,4,1.0,956.9,2125.9
5925,892a1077037ffff,Brooklyn,BK1202,Borough Park,892,1848.1,529.0,0.4315,1042.4,block_group,block_group,360470224003,5,1.0,1319.1,2377.1
5926,892a107703bffff,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),1622,1688.1,214.3,0.2635,656.6,block_group,block_group,360470092021,7,1.0,1473.8,1902.4
5927,892a1077043ffff,Brooklyn,BK0702,Sunset Park (West),641,1711.5,438.3,0.2867,709.2,block_group,block_group,360470082003,5,1.0,1273.2,2149.8
5928,892a1077047ffff,Brooklyn,BK0702,Sunset Park (West),1009,1801.7,162.4,0.3823,922.8,block_group,block_group,360470082002,4,1.0,1639.3,1964.1
5929,892a107704bffff,Brooklyn,BK0702,Sunset Park (West),175,2006.0,267.0,0.5822,1421.7,block_group,block_group,360470002001,1,1.0,1739.0,2273.0
5930,892a107704fffff,Brooklyn,BK0702,Sunset Park (West),733,1817.4,160.2,0.3965,959.6,mixed,tract,36047008000,6,1.0,1657.2,1977.6
5931,892a1077053ffff,Brooklyn,BK0702,Sunset Park (West),209,1936.1,103.9,0.5089,1250.8,block_group,block_group,360470084002,3,1.0,1832.2,2040.0
5932,892a1077057ffff,Brooklyn,BK0702,Sunset Park (West),795,2223.0,108.3,0.7768,1930.8,block_group,block_group,360470082001,3,1.0,2114.7,2331.3
5933,892a107705bffff,Brooklyn,BK0702,Sunset Park (West),19,2006.0,267.0,0.5822,1421.7,block_group,block_group,360470002001,1,1.0,1739.0,2273.0
5934,892a1077063ffff,Brooklyn,BK0703,Sunset Park (Central),1181,1764.7,150.6,0.3458,832.5,block_group,block_group,360470098003,6,1.0,1614.1,1915.3
5935,892a1077067ffff,Brooklyn,BK0703,Sunset Park (Central),1112,1519.4,164.2,0.1568,396.7,block_group,block_group,360470108012,7,1.0,1355.2,1683.6
5936,892a107706bffff,Brooklyn,BK0703,Sunset Park (Central),1119,1799.7,245.5,0.379,914.3,block_group,block_group,360470100004,7,1.0,1554.2,2045.2
5937,892a107706fffff,Brooklyn,BK0703,Sunset Park (Central),1194,1965.3,348.0,0.5493,1331.5,block_group,block_group,360470100001,7,1.0,1617.3,2313.3
