cell_index,cell_id,borough,nta_id,nta_name,housing_units,median_gross_rent_usd,margin_of_error_usd,rent_percentile,bar_height_m,source_level,primary_source_level,dominant_source_geoid,source_geography_count,source_unit_coverage_share,lower_bound_90_usd,upper_bound_90_usd
0,892a100002fffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,44,896.0,445.0,0.0244,94.8,block_group,block_group,360050516013,1,1.0,451.0,1341.0
1,892a1000063ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,90,1815.9,219.8,0.3951,955.4,mixed,tract,36005051601,2,1.0,1596.1,2035.7
2,892a1000067ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,186,1667.8,201.9,0.2466,614.4,mixed,tract,36005051601,3,1.0,1465.9,1869.7
3,892a100024bffff,Bronx,BX1004,Co-op City,55,1394.0,194.0,0.1054,275.6,block_group,block_group,360050302011,1,1.0,1200.0,1588.0
4,892a1000253ffff,Bronx,BX1004,Co-op City,4458,1271.0,296.0,0.0738,197.9,block_group,block_group,360050302021,1,1.0,975.0,1567.0
5,892a100025bffff,Bronx,BX1004,Co-op City,45,1394.0,194.0,0.1054,275.6,block_group,block_group,360050302011,1,1.0,1200.0,1588.0
7,892a1000383ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,252,1893.2,348.2,0.4714,1149.7,block_group,block_group,360050516012,2,1.0,1545.0,2241.4
8,892a1000387ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,229,2219.3,293.4,0.7754,1925.5,block_group,block_group,360050516014,2,1.0,1925.9,2512.7
9,892a1000393ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,286,1121.4,351.7,0.047,137.7,block_group,block_group,360050516013,2,1.0,769.7,1473.1
10,892a1000397ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,172,1079.8,360.1,0.0393,128.4,mixed,block_group,360050516013,2,1.0,719.7,1439.9
11,892a100039bffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,173,1723.2,461.4,0.2983,737.1,mixed,block_group,360050516012,2,1.0,1261.8,2184.6
12,892a10003b3ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,134,1713.8,244.8,0.2881,713.2,mixed,block_group,360050516014,3,1.0,1469.0,1958.6
13,892a100090fffff,Queens,QN1103,Douglaston-Little Neck,18,1654.0,583.0,0.2305,578.1,block_group,block_group,360811483001,1,1.0,1071.0,2237.0
14,892a1000923ffff,Queens,QN1103,Douglaston-Little Neck,91,1745.8,987.9,0.3237,785.8,mixed,tract,36081148300,2,1.0,757.9,2733.7
15,892a1000927ffff,Queens,QN1103,Douglaston-Little Neck,126,1680.7,509.5,0.2563,639.5,mixed,block_group,360811483001,2,1.0,1171.2,2190.2
16,892a100092bffff,Queens,QN1103,Douglaston-Little Neck,82,1750.0,1033.0,0.3303,797.0,tract,tract,36081148300,1,1.0,717.0,2783.0
17,892a100092fffff,Queens,QN1103,Douglaston-Little Neck,97,1750.0,1033.0,0.3303,797.0,tract,tract,36081148300,1,1.0,717.0,2783.0
18,892a1000937ffff,Queens,QN1103,Douglaston-Little Neck,114,1654.0,583.0,0.2305,578.1,block_group,block_group,360811483001,1,1.0,1071.0,2237.0
19,892a100093bffff,Queens,QN1103,Douglaston-Little Neck,66,1690.4,533.2,0.2651,660.7,mixed,block_group,360811483001,2,1.0,1157.2,2223.6
20,892a1000977ffff,Queens,QN1103,Douglaston-Little Neck,38,1696.9,563.4,0.2727,676.8,mixed,block_group,360811483001,2,1.0,1133.5,2260.3
22,892a1000a2bffff,Queens,QN0702,Whitestone-Beechhurst,803,2092.3,136.6,0.6641,1628.7,block_group,block_group,360810991001,2,1.0,1955.7,2228.9
23,892a1000a67ffff,Queens,QN0702,Whitestone-Beechhurst,433,2148.2,106.5,0.7162,1770.0,mixed,block_group,360810991001,3,1.0,2041.7,2254.7
24,892a1000a6fffff,Queens,QN0702,Whitestone-Beechhurst,159,1945.6,214.1,0.5217,1275.9,mixed,block_group,360810987001,2,1.0,1731.5,2159.7
26,892a1000acbffff,Bronx,BX1002,Throgs Neck-Schuylerville,98,2537.8,682.8,0.8975,2310.8,mixed,block_group,360050118001,2,1.0,1855.0,3220.6
28,892a1000b03ffff,Queens,QN0703,Bay Terrace-Clearview,472,2618.5,373.2,0.923,2396.9,mixed,block_group,360810997042,3,1.0,2245.3,2991.7
29,892a1000b07ffff,Queens,QN0703,Bay Terrace-Clearview,415,2460.8,309.0,0.8741,2240.7,mixed,block_group,360810997042,4,1.0,2151.8,2769.8
30,892a1000b0bffff,Queens,QN0703,Bay Terrace-Clearview,449,2764.6,522.3,0.9538,2494.4,mixed,block_group,360810997051,2,1.0,2242.3,3286.9
31,892a1000b0fffff,Queens,QN0703,Bay Terrace-Clearview,762,1499.9,240.2,0.1465,370.7,mixed,block_group,360810997043,3,1.0,1259.7,1740.1
32,892a1000b13ffff,Queens,QN0703,Bay Terrace-Clearview,292,3207.0,473.0,0.9946,2632.0,tract,tract,36081099703,1,1.0,2734.0,3680.0
33,892a1000b17ffff,Queens,QN0703,Bay Terrace-Clearview,364,3158.9,444.9,0.9922,2622.9,mixed,tract,36081099703,2,1.0,2714.0,3603.8
34,892a1000b1bffff,Queens,QN0703,Bay Terrace-Clearview,537,2300.6,441.4,0.8153,2047.7,mixed,tract,36081099704,3,1.0,1859.2,2742.0
35,892a1000b23ffff,Queens,QN1102,Bayside,167,1871.6,846.9,0.4532,1101.4,mixed,tract,36081109300,2,1.0,1024.7,2718.5
36,892a1000b27ffff,Queens,QN1102,Bayside,202,1809.2,120.5,0.3899,940.2,mixed,block_group,360811093003,2,1.0,1688.7,1929.7
37,892a1000b2bffff,Queens,QN1102,Bayside,284,1867.6,428.0,0.4495,1090.9,mixed,block_group,360810997045,2,1.0,1439.6,2295.6
38,892a1000b2fffff,Queens,QN1102,Bayside,162,1893.2,583.3,0.4714,1149.7,mixed,tract,36081109300,3,1.0,1309.9,2476.5
39,892a1000b33ffff,Queens,QN0703,Bay Terrace-Clearview,68,2361.9,324.7,0.8431,2139.2,mixed,block_group,360810997033,2,1.0,2037.2,2686.6
40,892a1000b37ffff,Queens,QN1102,Bayside,134,1874.4,645.7,0.4557,1107.6,mixed,tract,36081109300,3,1.0,1228.7,2520.1
41,892a1000b3bffff,Queens,QN0703,Bay Terrace-Clearview,1117,1889.9,344.7,0.4683,1142.8,mixed,block_group,360810997045,3,1.0,1545.2,2234.6
43,892a1000b47ffff,Queens,QN0703,Bay Terrace-Clearview,10,2954.0,647.0,0.9751,2568.9,block_group,block_group,360810997051,1,1.0,2307.0,3601.0
44,892a1000b4bffff,Queens,QN0702,Whitestone-Beechhurst,165,2560.3,189.1,0.9064,2339.4,mixed,block_group,360810997011,3,1.0,2371.2,2749.4
45,892a1000b4fffff,Queens,QN0703,Bay Terrace-Clearview,233,2682.0,228.0,0.9391,2446.3,block_group,block_group,360810997011,1,1.0,2454.0,2910.0
46,892a1000b53ffff,Queens,QN0703,Bay Terrace-Clearview,222,2954.0,647.0,0.9751,2568.9,block_group,block_group,360810997051,1,1.0,2307.0,3601.0
47,892a1000b57ffff,Queens,QN0703,Bay Terrace-Clearview,473,2954.0,647.0,0.9751,2568.9,block_group,block_group,360810997051,1,1.0,2307.0,3601.0
48,892a1000b63ffff,Queens,QN0703,Bay Terrace-Clearview,25,2618.0,231.7,0.9225,2395.5,mixed,tract,36081099701,2,1.0,2386.3,2849.7
49,892a1000b67ffff,Queens,QN0703,Bay Terrace-Clearview,259,1204.8,151.5,0.0615,171.0,mixed,block_group,360810997043,5,1.0,1053.3,1356.3
50,892a1000b6bffff,Queens,QN0703,Bay Terrace-Clearview,416,2607.4,262.8,0.9194,2385.2,tract,tract,36081099701,2,1.0,2344.6,2870.2
51,892a1000b6fffff,Queens,QN0703,Bay Terrace-Clearview,161,2602.0,265.0,0.9174,2377.7,mixed,tract,36081099701,3,1.0,2337.0,2867.0
52,892a1000b73ffff,Queens,QN0703,Bay Terrace-Clearview,138,2183.6,489.1,0.7445,1850.5,mixed,tract,36081099704,2,1.0,1694.5,2672.7
53,892a1000b77ffff,Queens,QN0703,Bay Terrace-Clearview,476,737.6,185.0,0.0134,73.2,block_group,block_group,360810997043,2,1.0,552.6,922.6
54,892a1000b7bffff,Queens,QN0703,Bay Terrace-Clearview,43,2682.0,228.0,0.9391,2446.3,block_group,block_group,360810997011,1,1.0,2454.0,2910.0
55,892a1000babffff,Queens,QN0703,Bay Terrace-Clearview,424,2411.0,346.0,0.8615,2194.6,block_group,block_group,360810997033,1,1.0,2065.0,2757.0
56,892a1000bafffff,Queens,QN0703,Bay Terrace-Clearview,67,2286.5,332.1,0.8088,2028.3,mixed,block_group,360810997033,2,1.0,1954.4,2618.6
57,892a1000bcfffff,Queens,QN0703,Bay Terrace-Clearview,16,3096.3,388.5,0.9874,2608.4,mixed,tract,36081099703,2,1.0,2707.8,3484.8
58,892a1001003ffff,Bronx,BX1201,Williamsbridge-Olinville,626,1833.5,286.8,0.4158,1002.1,mixed,block_group,360050368002,4,1.0,1546.7,2120.3
59,892a1001007ffff,Bronx,BX1103,Pelham Gardens,277,928.3,160.5,0.0269,100.1,tract,tract,36005034800,2,1.0,767.8,1088.8
60,892a100100bffff,Bronx,BX1201,Williamsbridge-Olinville,264,2062.6,190.9,0.6361,1563.2,block_group,block_group,360050372001,3,1.0,1871.7,2253.5
61,892a100100fffff,Bronx,BX1201,Williamsbridge-Olinville,570,1574.0,209.4,0.1809,457.2,mixed,block_group,360050370002,5,1.0,1364.6,1783.4
62,892a1001013ffff,Bronx,BX1201,Williamsbridge-Olinville,585,1878.7,266.0,0.4586,1116.2,block_group,block_group,360050382001,6,1.0,1612.7,2144.7
63,892a1001017ffff,Bronx,BX1201,Williamsbridge-Olinville,326,1545.1,715.9,0.1665,421.4,block_group,block_group,360050368001,3,1.0,829.2,2261.0
64,892a100101bffff,Bronx,BX1201,Williamsbridge-Olinville,1181,1308.9,124.3,0.0841,222.5,mixed,block_group,360050380001,6,1.0,1184.6,1433.2
65,892a1001023ffff,Bronx,BX1103,Pelham Gardens,455,974.2,138.3,0.0307,108.5,mixed,tract,36005034800,3,1.0,835.9,1112.5
66,892a1001027ffff,Bronx,BX1103,Pelham Gardens,350,2053.5,213.3,0.6274,1539.3,mixed,block_group,360050326002,3,1.0,1840.2,2266.8
67,892a100102bffff,Bronx,BX1104,Allerton,389,1633.6,640.1,0.2168,543.9,block_group,block_group,360050342002,3,1.0,993.5,2273.7
68,892a100102fffff,Bronx,BX1103,Pelham Gardens,413,1860.6,138.9,0.444,1076.1,block_group,block_group,360050326001,4,1.0,1721.7,1999.5
69,892a1001033ffff,Bronx,BX1103,Pelham Gardens,1099,409.7,54.6,0.0016,51.6,mixed,block_group,360050348002,2,1.0,355.1,464.3
70,892a1001037ffff,Bronx,BX1103,Pelham Gardens,372,843.4,228.1,0.02,85.9,mixed,tract,36005034800,3,1.0,615.3,1071.5
71,892a100103bffff,Bronx,BX1103,Pelham Gardens,377,2360.2,872.4,0.8427,2137.9,mixed,block_group,360050344002,4,1.0,1487.8,3232.6
72,892a1001043ffff,Bronx,BX1201,Williamsbridge-Olinville,357,1487.8,184.0,0.1416,359.1,block_group,block_group,360050378002,4,1.0,1303.8,1671.8
73,892a1001047ffff,Bronx,BX1201,Williamsbridge-Olinville,1192,936.6,466.8,0.0276,101.8,block_group,block_group,360050374003,3,1.0,469.8,1403.4
74,892a100104bffff,Bronx,BX0703,Norwood,1450,1503.6,92.7,0.1481,375.5,block_group,block_group,360050429021,4,1.0,1410.9,1596.3
75,892a1001053ffff,Bronx,BX1201,Williamsbridge-Olinville,1093,1457.9,156.0,0.1277,327.3,block_group,block_group,360050378001,4,1.0,1301.9,1613.9
76,892a1001057ffff,Bronx,BX1201,Williamsbridge-Olinville,1047,1717.6,214.8,0.2935,726.0,block_group,block_group,360050380004,2,1.0,1502.8,1932.4
77,892a100105bffff,Bronx,BX0703,Norwood,742,1574.5,104.6,0.1813,458.2,block_group,block_group,360050431023,2,1.0,1469.9,1679.1
78,892a1001063ffff,Bronx,BX1104,Allerton,1047,1460.2,99.0,0.1295,330.4,block_group,block_group,360050338021,5,1.0,1361.2,1559.2
79,892a1001067ffff,Bronx,BX1104,Allerton,1334,1641.4,90.0,0.2214,555.6,block_group,block_group,360050340003,5,1.0,1551.4,1731.4
80,892a100106bffff,Bronx,BX1104,Allerton,10102,600.0,204.9,0.0076,61.6,block_group,block_group,360050336014,2,1.0,395.1,804.9
81,892a100106fffff,Bronx,BX1104,Allerton,2253,1301.3,83.6,0.0817,216.6,block_group,block_group,360050336011,4,1.0,1217.7,1384.9
82,892a1001073ffff,Bronx,BX1201,Williamsbridge-Olinville,920,1681.7,136.2,0.2579,641.7,block_group,block_group,360050372002,5,1.0,1545.5,1817.9
83,892a1001077ffff,Bronx,BX1104,Allerton,868,1756.8,195.4,0.3382,813.5,block_group,block_group,360050340002,4,1.0,1561.4,1952.2
84,892a100107bffff,Bronx,BX1201,Williamsbridge-Olinville,851,1489.5,166.1,0.1425,360.7,block_group,block_group,360050376001,5,1.0,1323.4,1655.6
85,892a1001083ffff,Bronx,BX1202,Eastchester-Edenwald-Baychester,488,1683.0,157.0,0.2593,645.7,tract,tract,36005038600,1,1.0,1526.0,1840.0
86,892a1001087ffff,Bronx,BX1202,Eastchester-Edenwald-Baychester,889,1587.5,123.0,0.1898,477.4,mixed,tract,36005038600,3,1.0,1464.5,1710.5
87,892a100108bffff,Bronx,BX1201,Williamsbridge-Olinville,450,1701.3,294.5,0.2773,686.0,mixed,block_group,360050388001,6,1.0,1406.8,1995.8
88,892a100108fffff,Bronx,BX1201,Williamsbridge-Olinville,1173,1797.9,173.7,0.3768,908.9,mixed,block_group,360050386007,5,1.0,1624.2,1971.6
89,892a1001093ffff,Bronx,BX1202,Eastchester-Edenwald-Baychester,271,1615.0,136.1,0.2049,516.0,mixed,tract,36005038600,3,1.0,1478.9,1751.1
90,892a1001097ffff,Bronx,BX1202,Eastchester-Edenwald-Baychester,563,1446.7,98.5,0.1225,315.9,mixed,tract,36005038600,3,1.0,1348.2,1545.2
91,892a100109bffff,Bronx,BX1201,Williamsbridge-Olinville,495,1387.0,124.2,0.1028,270.0,mixed,block_group,360050398001,4,1.0,1262.8,1511.2
92,892a10010a3ffff,Bronx,BX1202,Eastchester-Edenwald-Baychester,441,1829.3,184.9,0.4086,990.5,mixed,block_group,360050364001,4,1.0,1644.4,2014.2
93,892a10010a7ffff,Bronx,BX1202,Eastchester-Edenwald-Baychester,319,1927.0,307.6,0.5015,1230.7,mixed,tract,36005035800,4,1.0,1619.4,2234.6
94,892a10010abffff,Bronx,BX1202,Eastchester-Edenwald-Baychester,280,1444.4,164.8,0.122,314.3,mixed,block_group,36005034800,3,1.0,1279.6,1609.2
95,892a10010afffff,Bronx,BX1103,Pelham Gardens,360,1836.7,439.7,0.4187,1010.6,mixed,tract,36005035000,3,1.0,1397.0,2276.4
96,892a10010b3ffff,Bronx,BX1202,Eastchester-Edenwald-Baychester,429,1959.6,304.0,0.5429,1313.7,mixed,block_group,36005035800,3,1.0,1655.6,2263.6
97,892a10010b7ffff,Bronx,BX1202,Eastchester-Edenwald-Baychester,374,1962.7,329.7,0.5461,1321.3,mixed,tract,36005035800,3,1.0,1633.0,2292.4
98,892a10010bbffff,Bronx,BX1202,Eastchester-Edenwald-Baychester,480,1972.6,267.4,0.5564,1349.2,block_group,block_group,360050364002,3,1.0,1705.2,2240.0
99,892a10010c3ffff,Bronx,BX1201,Williamsbridge-Olinville,747,1698.9,118.0,0.2744,680.2,block_group,block_group,360050396003,4,1.0,1580.9,1816.9
100,892a10010c7ffff,Bronx,BX1201,Williamsbridge-Olinville,658,1533.4,619.8,0.161,408.5,block_group,block_group,360050390001,3,1.0,913.6,2153.2
101,892a10010cbffff,Bronx,BX1201,Williamsbridge-Olinville,609,1621.7,129.5,0.2084,524.9,block_group,block_group,360050392001,5,1.0,1492.2,1751.2
102,892a10010cfffff,Bronx,BX1201,Williamsbridge-Olinville,1133,1717.5,133.2,0.2933,725.5,mixed,block_group,360050380003,4,1.0,1584.3,1850.7
103,892a10010d3ffff,Bronx,BX1201,Williamsbridge-Olinville,797,1617.6,231.2,0.2057,518.2,mixed,block_group,36005039600,6,1.0,1386.4,1848.8
104,892a10010d7ffff,Bronx,BX1201,Williamsbridge-Olinville,687,1764.3,270.8,0.3451,830.7,block_group,block_group,360050398002,4,1.0,1493.5,2035.1
105,892a10010dbffff,Bronx,BX1201,Williamsbridge-Olinville,755,1536.5,167.1,0.1622,411.2,mixed,block_group,360050394004,5,1.0,1369.4,1703.6
106,892a1001103ffff,Bronx,BX1102,Morris Park,736,1800.3,120.8,0.3798,916.1,block_group,block_group,360050296001,3,1.0,1679.5,1921.1
108,892a100110fffff,Bronx,BX1102,Morris Park,124,1785.0,123.0,0.3628,877.2,block_group,block_group,360050296001,1,1.0,1662.0,1908.0
109,892a1001113ffff,Bronx,BX1103,Pelham Gardens,250,2357.3,393.7,0.8416,2133.8,mixed,block_group,360050310003,4,1.0,1963.6,2751.0
110,892a1001117ffff,Bronx,BX1102,Morris Park,209,1990.5,140.0,0.5697,1388.6,block_group,block_group,360050296001,2,1.0,1850.5,2130.5
111,892a100111bffff,Bronx,BX1103,Pelham Gardens,275,1980.5,262.2,0.5631,1369.5,block_group,block_group,360050314002,2,1.0,1718.3,2242.7
112,892a1001137ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,330,1829.9,112.2,0.4092,992.4,mixed,tract,36005026601,3,1.0,1717.7,1942.1
113,892a1001143ffff,Bronx,BX1103,Pelham Gardens,322,2130.6,520.6,0.7028,1730.6,block_group,block_group,360050326003,2,1.0,1610.0,2651.2
114,892a1001147ffff,Bronx,BX1102,Morris Park,169,1901.2,575.7,0.4784,1168.3,block_group,block_group,360050288004,2,1.0,1325.5,2476.9
115,892a100114bffff,Bronx,BX1103,Pelham Gardens,367,760.3,69.8,0.0146,75.8,block_group,block_group,360050324001,3,1.0,690.5,830.1
116,892a100114fffff,Bronx,BX1102,Morris Park,452,1750.2,202.1,0.3314,797.6,block_group,block_group,360050288003,3,1.0,1548.1,1952.3
117,892a1001153ffff,Bronx,BX1103,Pelham Gardens,419,2126.2,474.0,0.6981,1718.1,block_group,block_group,360050318002,5,1.0,1652.2,2600.2
118,892a1001157ffff,Bronx,BX1103,Pelham Gardens,249,1963.6,286.2,0.5477,1325.8,block_group,block_group,360050316002,3,1.0,1677.4,2249.8
119,892a100115bffff,Bronx,BX1103,Pelham Gardens,301,2466.0,255.4,0.8768,2247.5,block_group,block_group,360050326002,4,1.0,2210.6,2721.4
120,892a1001163ffff,Bronx,BX1102,Morris Park,328,2006.4,285.2,0.5827,1423.0,mixed,block_group,360050288002,3,1.0,1721.2,2291.6
121,892a1001167ffff,Bronx,BX1102,Morris Park,398,2166.3,395.7,0.7305,1816.1,mixed,block_group,360050286002,3,1.0,1770.6,2562.0
122,892a100116bffff,Bronx,BX1102,Morris Park,582,1800.4,137.6,0.38,916.7,block_group,block_group,360050250001,4,1.0,1662.8,1938.0
123,892a100116fffff,Bronx,BX1102,Morris Park,520,1827.4,128.6,0.4067,985.7,mixed,block_group,360050254001,5,1.0,1698.8,1956.0
124,892a1001173ffff,Bronx,BX1102,Morris Park,171,1763.1,253.3,0.3444,829.5,block_group,block_group,360050288002,3,1.0,1509.8,2016.4
125,892a1001177ffff,Bronx,BX1102,Morris Park,27,1693.4,433.3,0.2701,669.9,mixed,tract,36005028600,2,1.0,1260.1,2126.7
126,892a100117bffff,Bronx,BX1102,Morris Park,407,1790.3,100.9,0.368,890.3,block_group,block_group,360050288001,5,1.0,1689.4,1891.2
127,892a1001183ffff,Bronx,BX1103,Pelham Gardens,76,2493.0,357.0,0.8834,2270.6,tract,tract,36005031000,1,1.0,2136.0,2850.0
128,892a1001187ffff,Bronx,BX1103,Pelham Gardens,81,2644.0,435.0,0.9305,2420.2,block_group,block_group,360050310001,1,1.0,2209.0,3079.0
129,892a100118bffff,Bronx,BX1103,Pelham Gardens,333,2292.2,483.1,0.8111,2035.0,mixed,block_group,360050310003,2,1.0,1809.1,2775.3
130,892a100118fffff,Bronx,BX1103,Pelham Gardens,213,2529.9,290.0,0.8954,2302.6,mixed,tract,36005031000,2,1.0,2239.9,2819.9
133,892a100119bffff,Bronx,BX1103,Pelham Gardens,71,2151.6,460.5,0.7187,1778.5,block_group,block_group,360050310003,3,1.0,1691.1,2612.1
134,892a10011a3ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,740,1837.1,388.2,0.4203,1013.1,block_group,block_group,360050300004,3,1.0,1448.9,2225.3
135,892a10011a7ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,711,2254.1,391.4,0.7913,1974.8,block_group,block_group,360050300001,4,1.0,1862.7,2645.5
136,892a10011afffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,637,2145.7,595.5,0.7139,1762.8,mixed,block_group,36005030000,3,1.0,1550.2,2741.2
137,892a10011c3ffff,Bronx,BX1103,Pelham Gardens,367,1977.0,305.6,0.5598,1359.3,mixed,block_group,36005031200,4,1.0,1671.4,2282.6
138,892a10011c7ffff,Bronx,BX1103,Pelham Gardens,310,2308.8,403.7,0.8205,2064.5,mixed,block_group,360050312002,3,1.0,1905.1,2712.5
139,892a10011cbffff,Bronx,BX1103,Pelham Gardens,394,1628.8,303.0,0.2132,536.0,block_group,block_group,360050316001,5,1.0,1325.8,1931.8
140,892a10011cfffff,Bronx,BX1103,Pelham Gardens,329,1614.5,183.7,0.2044,514.9,block_group,block_group,360050314001,4,1.0,1430.8,1798.2
141,892a10011d3ffff,Bronx,BX1103,Pelham Gardens,298,1738.8,228.8,0.3184,774.0,block_group,block_group,360050360003,5,1.0,1510.0,1967.6
142,892a10011d7ffff,Bronx,BX1103,Pelham Gardens,338,1946.5,383.3,0.5226,1278.4,mixed,block_group,360050310003,3,1.0,1563.2,2329.8
143,892a10011dbffff,Bronx,BX1103,Pelham Gardens,475,1944.7,247.8,0.5207,1272.8,mixed,block_group,360050360002,4,1.0,1696.9,2192.5
144,892a1001203ffff,Bronx,BX0702,Bedford Park,1922,1533.1,232.1,0.1607,408.0,block_group,block_group,360050411003,6,1.0,1301.0,1765.2
145,892a1001207ffff,Bronx,BX0702,Bedford Park,2123,1770.9,186.4,0.35,845.0,block_group,block_group,360050413007,9,1.0,1584.5,1957.3
147,892a100120fffff,Bronx,BX0702,Bedford Park,1920,1570.3,69.3,0.1782,451.2,block_group,block_group,360050407023,4,1.0,1501.0,1639.6
148,892a1001213ffff,Bronx,BX0702,Bedford Park,1799,1697.3,161.4,0.2735,677.9,block_group,block_group,360050411001,4,1.0,1535.9,1858.7
149,892a1001217ffff,Bronx,BX0703,Norwood,1243,1699.9,148.3,0.276,682.6,block_group,block_group,360050413001,6,1.0,1551.6,1848.2
150,892a100121bffff,Bronx,BX0702,Bedford Park,352,1697.0,36.0,0.2731,677.4,block_group,block_group,360050409001,1,1.0,1661.0,1733.0
151,892a1001223ffff,Bronx,BX0603,Belmont,1120,781.4,225.0,0.0168,78.9,block_group,block_group,360050407021,5,1.0,556.4,1006.4
152,892a100122bffff,Bronx,BX0702,Bedford Park,1833,1574.9,113.5,0.1816,458.8,block_group,block_group,360050405022,8,1.0,1461.4,1688.4
153,892a100122fffff,Bronx,BX0603,Belmont,171,1707.2,297.6,0.2829,699.9,block_group,block_group,360050405024,2,1.0,1409.6,2004.8
154,892a1001233ffff,Bronx,BX0702,Bedford Park,1909,1603.0,212.5,0.1984,500.5,block_group,block_group,360050415006,6,1.0,1390.5,1815.5
155,892a100123bffff,Bronx,BX0702,Bedford Park,1713,1213.3,150.7,0.0628,173.8,mixed,block_group,360050407022,5,1.0,1062.6,1364.0
156,892a1001243ffff,Bronx,BX0702,Bedford Park,323,1806.3,127.7,0.3864,933.0,block_group,block_group,360050277003,2,1.0,1678.6,1934.0
158,892a100124bffff,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,1075,1552.4,106.9,0.1695,429.5,block_group,block_group,360050277001,5,1.0,1445.5,1659.3
159,892a100124fffff,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,1366,1633.6,160.0,0.2168,543.9,block_group,block_group,360050267021,4,1.0,1473.6,1793.6
160,892a1001253ffff,Bronx,BX0702,Bedford Park,319,1954.8,280.7,0.5297,1298.6,block_group,block_group,360050279003,2,1.0,1674.1,2235.5
162,892a100125bffff,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,1254,1435.2,256.6,0.1189,306.1,block_group,block_group,360050277004,5,1.0,1178.6,1691.8
163,892a1001263ffff,Bronx,BX0702,Bedford Park,1684,1698.2,102.1,0.2739,679.1,block_group,block_group,360050403042,5,1.0,1596.1,1800.3
164,892a1001267ffff,Bronx,BX0702,Bedford Park,1895,1563.3,119.5,0.1756,444.6,block_group,block_group,360050403021,6,1.0,1443.8,1682.8
165,892a100126bffff,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,1012,1582.6,324.1,0.1856,469.2,block_group,block_group,360050267011,3,1.0,1258.5,1906.7
166,892a100126fffff,Bronx,BX0701,University Heights (North)-Fordham,656,1779.2,512.1,0.3557,859.9,block_group,block_group,360050265001,4,1.0,1267.1,2291.3
167,892a1001273ffff,Bronx,BX0702,Bedford Park,805,1561.3,85.7,0.174,441.4,block_group,block_group,360050403032,3,1.0,1475.6,1647.0
168,892a1001277ffff,Bronx,BX0702,Bedford Park,2104,1675.4,107.3,0.2518,628.0,block_group,block_group,360050403031,9,1.0,1568.1,1782.7
169,892a100127bffff,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,1163,1651.4,282.8,0.2288,573.6,block_group,block_group,360050267026,4,1.0,1368.6,1934.2
170,892a1001283ffff,Bronx,BX0703,Norwood,790,1285.6,164.5,0.0777,206.5,block_group,block_group,360050421001,2,1.0,1121.1,1450.1
171,892a1001287ffff,Bronx,BX0703,Norwood,606,1379.1,240.9,0.1008,265.0,block_group,block_group,360050423002,3,1.0,1138.2,1620.0
172,892a100128bffff,Bronx,BX0703,Norwood,1010,1648.8,129.5,0.2271,569.7,block_group,block_group,360050419004,5,1.0,1519.3,1778.3
173,892a100128fffff,Bronx,BX0703,Norwood,1157,1620.1,114.7,0.207,522.1,block_group,block_group,360050419007,6,1.0,1505.4,1734.8
174,892a1001297ffff,Bronx,BX0703,Norwood,1507,1571.6,96.6,0.1795,454.4,block_group,block_group,360050431023,6,1.0,1475.0,1668.2
175,892a100129bffff,Bronx,BX0703,Norwood,1289,1548.9,140.1,0.168,425.7,block_group,block_group,360050421004,5,1.0,1408.8,1689.0
176,892a10012a3ffff,Bronx,BX0703,Norwood,1138,1653.7,322.5,0.23,577.0,mixed,block_group,360050425005,6,1.0,1331.2,1976.2
177,892a10012abffff,Bronx,BX0703,Norwood,978,1610.4,171.2,0.2026,511.6,block_group,block_group,360050425002,6,1.0,1439.2,1781.6
178,892a10012afffff,Bronx,BX0703,Norwood,351,1425.4,256.5,0.115,296.9,mixed,tract,36005042500,2,1.0,1168.9,1681.9
179,892a10012b3ffff,Bronx,BX0703,Norwood,1532,1621.2,121.6,0.208,524.3,block_group,block_group,360050429011,6,1.0,1499.6,1742.8
180,892a10012bbffff,Bronx,BX0703,Norwood,1465,1498.3,100.8,0.1454,368.1,block_group,block_group,360050419003,8,1.0,1397.5,1599.1
181,892a10012c3ffff,Bronx,BX0702,Bedford Park,493,1031.0,574.0,0.035,118.4,block_group,block_group,360050281003,1,1.0,457.0,1605.0
182,892a10012c7ffff,Bronx,BX0702,Bedford Park,871,1697.0,36.0,0.2731,677.4,block_group,block_group,360050409001,1,1.0,1661.0,1733.0
