date,borough,medianAskingRent,rentalInventory
2019-10,Manhattan,3550,16221
2019-10,Brooklyn,2696,10037
2019-10,Queens,2300,4621
2019-10,Bronx,1970,865
2019-10,Staten Island,2200,64
2019-11,Manhattan,3556,14256
2019-11,Brooklyn,2600,8849
2019-11,Queens,2300,4071
2019-11,Bronx,1938,818
2019-11,Staten Island,2200,60
2019-12,Manhattan,3552,12968
2019-12,Brooklyn,2600,7885
2019-12,Queens,2250,3621
2019-12,Bronx,1920,702
2019-12,Staten Island,1990,48
2020-01,Manhattan,3577,14082
2020-01,Brooklyn,2600,8946
2020-01,Queens,2300,4031
2020-01,Bronx,1950,695
2020-01,Staten Island,1952,49
2020-02,Manhattan,3600,12846
2020-02,Brooklyn,2680,8525
2020-02,Queens,2350,3789
2020-02,Bronx,1995,629
2020-02,Staten Island,1998,50
2020-03,Manhattan,3610,11897
2020-03,Brooklyn,2700,7793
2020-03,Queens,2350,3203
2020-03,Bronx,1995,553
2020-03,Staten Island,2150,44
2020-04,Manhattan,3595,11367
2020-04,Brooklyn,2767,6781
2020-04,Queens,2400,2404
2020-04,Bronx,2000,398
2020-04,Staten Island,1800,24
2020-05,Manhattan,3479,18962
2020-05,Brooklyn,2750,12425
2020-05,Queens,2350,3719
2020-05,Bronx,1975,549
2020-05,Staten Island,1833,40
2020-06,Manhattan,3361,27648
2020-06,Brooklyn,2700,17658
2020-06,Queens,2344,5163
2020-06,Bronx,1979,662
2020-06,Staten Island,1875,36
2020-07,Manhattan,3200,36533
2020-07,Brooklyn,2700,22333
2020-07,Queens,2300,6550
2020-07,Bronx,2000,761
2020-07,Staten Island,1900,37
2020-08,Manhattan,3008,40359
2020-08,Brooklyn,2615,25106
2020-08,Queens,2245,7251
2020-08,Bronx,1995,811
2020-08,Staten Island,1787,38
2020-09,Manhattan,2950,40168
2020-09,Brooklyn,2500,25152
2020-09,Queens,2200,7305
2020-09,Bronx,1995,797
2020-09,Staten Island,1850,30
2020-10,Manhattan,2875,40087
2020-10,Brooklyn,2450,23507
2020-10,Queens,2100,7777
2020-10,Bronx,1930,781
2020-10,Staten Island,1950,35
2020-11,Manhattan,2799,35610
2020-11,Brooklyn,2400,21285
2020-11,Queens,2100,7209
2020-11,Bronx,1904,761
2020-11,Staten Island,1950,32
2020-12,Manhattan,2775,32620
2020-12,Brooklyn,2400,19786
2020-12,Queens,2045,6803
2020-12,Bronx,1900,798
2020-12,Staten Island,2200,34
2021-01,Manhattan,2750,32266
2021-01,Brooklyn,2395,19743
2021-01,Queens,2000,7515
2021-01,Bronx,1900,859
2021-01,Staten Island,1995,35
2021-02,Manhattan,2750,29250
2021-02,Brooklyn,2385,17718
2021-02,Queens,2000,6836
2021-02,Bronx,1950,807
2021-02,Staten Island,1895,45
2021-03,Manhattan,2750,29808
2021-03,Brooklyn,2399,18895
2021-03,Queens,2000,7652
2021-03,Bronx,1904,823
2021-03,Staten Island,1845,41
2021-04,Manhattan,2800,27841
2021-04,Brooklyn,2400,18734
2021-04,Queens,2050,7394
2021-04,Bronx,1950,805
2021-04,Staten Island,1800,48
2021-05,Manhattan,2850,25297
2021-05,Brooklyn,2429,18678
2021-05,Queens,2100,7079
2021-05,Bronx,2000,776
2021-05,Staten Island,1877,52
2021-06,Manhattan,2900,23936
2021-06,Brooklyn,2499,18238
2021-06,Queens,2195,6887
2021-06,Bronx,2000,895
2021-06,Staten Island,1800,60
2021-07,Manhattan,3000,21182
2021-07,Brooklyn,2599,17041
2021-07,Queens,2200,6212
2021-07,Bronx,2050,937
2021-07,Staten Island,1800,57
2021-08,Manhattan,3100,18266
2021-08,Brooklyn,2650,15087
2021-08,Queens,2250,5734
2021-08,Bronx,2095,995
2021-08,Staten Island,1950,54
2021-09,Manhattan,3200,14252
2021-09,Brooklyn,2680,10649
2021-09,Queens,2250,5120
2021-09,Bronx,2010,864
2021-09,Staten Island,2000,39
2021-10,Manhattan,3300,12807
2021-10,Brooklyn,2600,10959
2021-10,Queens,2250,5118
2021-10,Bronx,2000,862
2021-10,Staten Island,2075,52
2021-11,Manhattan,3475,11263
2021-11,Brooklyn,2625,10101
2021-11,Queens,2295,4796
2021-11,Bronx,2095,875
2021-11,Staten Island,2000,55
2021-12,Manhattan,3524,9864
2021-12,Brooklyn,2690,8896
2021-12,Queens,2300,4119
2021-12,Bronx,2100,765
2021-12,Staten Island,2070,51
2022-01,Manhattan,3700,10303
2022-01,Brooklyn,2725,8964
2022-01,Queens,2300,4128
2022-01,Bronx,2095,803
2022-01,Staten Island,2050,42
2022-02,Manhattan,3800,10101
2022-02,Brooklyn,2800,8287
2022-02,Queens,2300,3984
2022-02,Bronx,2199,859
2022-02,Staten Island,1900,54
2022-03,Manhattan,3883,11575
2022-03,Brooklyn,2850,9586
2022-03,Queens,2335,4351
2022-03,Bronx,2200,1003
2022-03,Staten Island,1900,76
2022-04,Manhattan,4000,11815
2022-04,Brooklyn,2950,8581
2022-04,Queens,2400,3822
2022-04,Bronx,2150,797
2022-04,Staten Island,1950,66
2022-05,Manhattan,4095,13559
2022-05,Brooklyn,3050,9206
2022-05,Queens,2500,3652
2022-05,Bronx,2247,907
2022-05,Staten Island,1950,78
2022-06,Manhattan,4100,15002
2022-06,Brooklyn,3223,9928
2022-06,Queens,2600,3594
2022-06,Bronx,2247,902
2022-06,Staten Island,1950,70
2022-07,Manhattan,4200,15906
2022-07,Brooklyn,3400,10730
2022-07,Queens,2600,3664
2022-07,Bronx,2299,945
2022-07,Staten Island,2075,84
2022-08,Manhattan,4200,16377
2022-08,Brooklyn,3400,11105
2022-08,Queens,2650,4147
2022-08,Bronx,2300,974
2022-08,Staten Island,2200,89
2022-09,Manhattan,4250,14521
2022-09,Brooklyn,3342,10120
2022-09,Queens,2700,4020
2022-09,Bronx,2300,888
2022-09,Staten Island,2300,89
2022-10,Manhattan,4200,14088
2022-10,Brooklyn,3250,9237
2022-10,Queens,2695,3975
2022-10,Bronx,2295,939
2022-10,Staten Island,2200,73
2022-11,Manhattan,4150,13566
2022-11,Brooklyn,3152,9430
2022-11,Queens,2605,3953
2022-11,Bronx,2275,963
2022-11,Staten Island,2200,88
