Title,Note,URL,Tags,Comment
145 Montauk Hwy,,https://www.google.com/maps/place/145+Montauk+Hwy/data=!4m2!3m1!1s0x89e8baa74ec3ffff:0xd6f951c690230eb1,,
E-E HOME,,https://www.google.com/maps/place/E-E+HOME/data=!4m2!3m1!1s0x89e8bb2bbf0daa21:0xf805f3a82d820ba5,,
Guild Hall,,https://www.google.com/maps/place/Guild+Hall/data=!4m2!3m1!1s0x89e8bb000e0a6487:0x8a6819a64cc30bcd,,
Book Bay,,https://www.google.com/maps/place/Book+Bay/data=!4m2!3m1!1s0x89e8bf099b998cb3:0x51a5333f3265809,,
Dia Bridgehampton / The Dan Flavin Art Institute,,https://www.google.com/maps/place/Dia+Bridgehampton+%2F+The+Dan+Flavin+Art+Institute/data=!4m2!3m1!1s0x89e8bddf9a4372bb:0x7098f30b37edfc60,,
Sagaponack General Store,,https://www.google.com/maps/place/Sagaponack+General+Store/data=!4m2!3m1!1s0x89e8bf979def45cd:0xf281ed8d6bac5083,,
The Leiber Collection,,https://www.google.com/maps/place/The+Leiber+Collection/data=!4m2!3m1!1s0x89e8aff3aaafe02f:0xdca8534a6acaa06e,,
Pollock-Krasner House,,https://www.google.com/maps/place/Pollock-Krasner+House/data=!4m2!3m1!1s0x89e8a570950d795b:0x3228fddf830cacb6,,
Sag Harbor Tavern,,https://www.google.com/maps/place/Sag+Harbor+Tavern/data=!4m2!3m1!1s0x89e8bdbd882cd49b:0xb7f87082f124cfc8,,
Carissa's the Bakery - Sag Harbor,,https://www.google.com/maps/place/Carissa's+the+Bakery+-+Sag+Harbor/data=!4m2!3m1!1s0x89e8bd9d34380f31:0xad64184260e3d6b3,,
Marram,,https://www.google.com/maps/place/Marram/data=!4m2!3m1!1s0x89ef54a7be39b2a5:0x5f22f57b1c52bd6,,
LOEWE East Hampton,,https://www.google.com/maps/place/LOEWE+East+Hampton/data=!4m2!3m1!1s0x89e8bb9249033943:0x97f0dd2bf80cf9b7,,
Max ID NY,,https://www.google.com/maps/place/Max+ID+NY/data=!4m2!3m1!1s0x89e8bdffd1449dbb:0xb1929021a5d39fb2,,
The Church,,https://www.google.com/maps/place/The+Church/data=!4m2!3m1!1s0x89e8bdad3358edc7:0xe6624781c96b962e,,
LongHouse Reserve,,https://www.google.com/maps/place/LongHouse+Reserve/data=!4m2!3m1!1s0x89e8bb232e5e475f:0x5edf55e5287b0b7e,,
Collette Home,,https://www.google.com/maps/place/Collette+Home/data=!4m2!3m1!1s0x89e894dcea2233f1:0xeab8bdd682853120,,
Laurel Group Outdoor Living Design Center,,https://www.google.com/maps/place/Laurel+Group+Outdoor+Living+Design+Center/data=!4m2!3m1!1s0x89e89590abe344a1:0x5d04ea4eda2bee39,,
LaGuardia Design Group Landscape Architecture,,https://www.google.com/maps/place/LaGuardia+Design+Group+Landscape+Architecture/data=!4m2!3m1!1s0x89e89599f1fcfb81:0x41cf429a0c183f59,,
Hue House,,https://www.google.com/maps/place/Hue+House/data=!4m2!3m1!1s0x89c2591d17f68d85:0xd01aa7847fd2eac1,,
Gulp,,https://www.google.com/maps/place/Gulp/data=!4m2!3m1!1s0x89c25990e836021d:0xe3a6e4ca775be7f3,,
Golden HOF - Korean Bar & Grill,,https://www.google.com/maps/place/Golden+HOF+-+Korean+Bar+%26+Grill/data=!4m2!3m1!1s0x89c2590070deab73:0xb6b1143e168c7a04,,
Tawny,,https://www.google.com/maps/place/Tawny/data=!4m2!3m1!1s0x89c25b1c571af8b1:0xcbbc2ee278d5637c,,
LES Enfants de Bohème,,https://www.google.com/maps/place/LES+Enfants+de+Boh%C3%A8me/data=!4m2!3m1!1s0x89c25a2bd5bf0b1f:0xb917d9cf497476ca,,
DPTO Annex,,https://www.google.com/maps/place/DPTO+Annex/data=!4m2!3m1!1s0x80c2c623ebcff7bb:0x8668cc74e7f1a1d1,,
Collage 20th Century Classics,,https://www.google.com/maps/place/Collage+20th+Century+Classics/data=!4m2!3m1!1s0x864e99442c0f9c81:0xdfbb11bf0d4d1de0,,
The Eighty Six,,https://www.google.com/maps/place/The+Eighty+Six/data=!4m2!3m1!1s0x89c2592129d9ee61:0x84fbdc9bcdb1bdfd,,
John Derian Company Inc,,https://www.google.com/maps/place/John+Derian+Company+Inc/data=!4m2!3m1!1s0x89c25984de8225bd:0x676a068920300bb7,,
Markette,,https://www.google.com/maps/place/Markette/data=!4m2!3m1!1s0x89c2590593bad435:0xe9623239292a58c4,,
Presidio Post,,https://www.google.com/maps/place/Presidio+Post/data=!4m2!3m1!1s0x8085810b884c4bab:0xac76e34e85caf156,,
McArdle's Floral & Garden Design,,https://www.google.com/maps/place/McArdle's+Floral+%26+Garden+Design/data=!4m2!3m1!1s0x89c2984bcecca6d9:0xedfd27b1557588b,,
Brookville Nurseries (The Rose Farm),,https://www.google.com/maps/place/Brookville+Nurseries+(The+Rose+Farm)/data=!4m2!3m1!1s0x89c284116c5d08f5:0x208ae0d57a61387,,
Perennial Gardens,,https://www.google.com/maps/place/Perennial+Gardens/data=!4m2!3m1!1s0x89c2a535277b9bc5:0x27016ccab70af1d5,,
Amodio's Landscape Supply & Flower Shop,,https://www.google.com/maps/place/Amodio's+Landscape+Supply+%26+Flower+Shop/data=!4m2!3m1!1s0x89c291550c572c33:0x8343e1e32a2a44dc,,
Tony's Nursery Inc,,https://www.google.com/maps/place/Tony's+Nursery+Inc/data=!4m2!3m1!1s0x89c2938b8b6d7c7d:0x3d3afc244c84830a,,
Horseman Antiques,,https://www.google.com/maps/place/Horseman+Antiques/data=!4m2!3m1!1s0x89c25a4da2d26867:0x9cc94e3a6af9484e,,
Berdoulat,,https://www.google.com/maps/place/Berdoulat/data=!4m2!3m1!1s0x4871811192270e59:0x33aa47ebe1511d82,,
Van Alen Institute,,https://www.google.com/maps/place/Van+Alen+Institute/data=!4m2!3m1!1s0x89c259a47fe38e8b:0xbb0e5f8e379c23e,,
Happier Grocery,,https://www.google.com/maps/place/Happier+Grocery/data=!4m2!3m1!1s0x89c259553f9497af:0xd6d375d614016755,,
